0162    LATIN CAPITAL LETTER T WITH CEDILLA
0163    LATIN SMALL LETTER T WITH CEDILLA
0164    LATIN CAPITAL LETTER T WITH CARON
0165    LATIN SMALL LETTER T WITH CARON
0166    LATIN CAPITAL LETTER T WITH STROKE
0167    LATIN SMALL LETTER T WITH STROKE
0168    LATIN CAPITAL LETTER U WITH TILDE
0169    LATIN SMALL LETTER U WITH TILDE
016A    LATIN CAPITAL LETTER U WITH MACRON
016B    LATIN SMALL LETTER U WITH MACRON
016C    LATIN CAPITAL LETTER U WITH BREVE
016D    LATIN SMALL LETTER U WITH BREVE
016E    LATIN CAPITAL LETTER U WITH RING ABOVE
016F    LATIN SMALL LETTER U WITH RING ABOVE
0170    LATIN CAPITAL LETTER U WITH DOUBLE ACUTE
0171    LATIN SMALL LETTER U WITH DOUBLE ACUTE
0172    LATIN CAPITAL LETTER U WITH OGONEK
0173    LATIN SMALL LETTER U WITH OGONEK
0174    LATIN CAPITAL LETTER W WITH CIRCUMFLEX
0175    LATIN SMALL LETTER W WITH CIRCUMFLEX
0176    LATIN CAPITAL LETTER Y WITH CIRCUMFLEX
0177    LATIN SMALL LETTER Y WITH CIRCUMFLEX
0178    LATIN CAPITAL LETTER Y WITH DIAERESIS
0179    LATIN CAPITAL LETTER Z WITH ACUTE
017A    LATIN SMALL LETTER Z WITH ACUTE
017B    LATIN CAPITAL LETTER Z WITH DOT ABOVE
017C    LATIN SMALL LETTER Z WITH DOT ABOVE
017D    LATIN CAPITAL LETTER Z WITH CARON
017E    LATIN SMALL LETTER Z WITH CARON
017F    LATIN SMALL LETTER LONG S
0180    LATIN SMALL LETTER B WITH STROKE
0181    LATIN CAPITAL LETTER B WITH HOOK
0182    LATIN CAPITAL LETTER B WITH TOPBAR
0183    LATIN SMALL LETTER B WITH TOPBAR
0184    LATIN CAPITAL LETTER TONE SIX
0185    LATIN SMALL LETTER TONE SIX
0186    LATIN CAPITAL LETTER OPEN O
